{'num': 1, 'origin_lang': '&', 'pronun_list': '앤드'},
{'num': 69, 'origin_lang': 'ACSR', 'pronun_list': '에이시에스아르'},
{'num': 70, 'origin_lang': 'ACSR', 'pronun_list': '에이시에스알'},
{'num': 71, 'origin_lang': 'ACST', 'pronun_list': '에이시에스티'},
{'num': 72, 'origin_lang': 'ACT', 'pronun_list': '에이시티'},
{'num': 73, 'origin_lang': 'ACTE', 'pronun_list': '에이시티이'},
{'num': 74, 'origin_lang': 'ACTH', 'pronun_list': '에이시티에이치'},
{'num': 75, 'origin_lang': 'ACTP', 'pronun_list': '에이시티피'},
{'num': 76, 'origin_lang': 'ACTV', 'pronun_list': '에이시티브이'},
{'num': 77, 'origin_lang': 'ACU', 'pronun_list': '아큐'},
{'num': 78, 'origin_lang': 'ACU', 'pronun_list': '에이시유'},
{'num': 79, 'origin_lang': 'ACV', 'pronun_list': '에이시브이'},
{'num': 80, 'origin_lang': 'AD', 'pronun_list': '에이디'},
{'num': 81, 'origin_lang': 'ADAPT', 'pronun_list': '어댑트'},
{'num': 82, 'origin_lang': 'ADAS', 'pronun_list': '에이디에이에스'},
{'num': 83, 'origin_lang': 'ADAT', 'pronun_list': '에이댓'},
{'num': 84, 'origin_lang': 'ADB', 'pronun_list': '에이디비'},
{'num': 85, 'origin_lang': 'ADC', 'pronun_list': '에이디시'},
{'num': 86, 'origin_lang': 'ADCCP', 'pronun_list': '에이디시시피'},
{'num': 87, 'origin_lang': 'ADCON', 'pronun_list': '에드컨'},
{'num': 88, 'origin_lang': 'ADCP', 'pronun_list': '에이디시피'},
{'num': 89, 'origin_lang': 'ADD', 'pronun_list': '에이디디'},
{'num': 90, 'origin_lang': 'ADE', 'pronun_list': '에이디이'},
{'num': 91, 'origin_lang': 'ADEX', 'pronun_list': '아덱스'},
{'num': 92, 'origin_lang': 'ADF', 'pronun_list': '에이디에프'},
{'num': 93, 'origin_lang': 'ADFAED', 'pronun_list': '에이디에프에이이디'},
{'num': 94, 'origin_lang': 'ADH', 'pronun_list': '에이디에이치'},
{'num': 95, 'origin_lang': 'ADHD', 'pronun_list': '에이디에이치디'},
{'num': 96, 'origin_lang': 'ADI', 'pronun_list': '에이디아이'},
{'num': 97, 'origin_lang': 'ADIBA', 'pronun_list': '에이디아이비에이'},
{'num': 98, 'origin_lang': 'ADIS', 'pronun_list': '에이디아이에스'},
{'num': 99, 'origin_lang': 'ADIZ', 'pronun_list': '에이디아이제트'},
{'num': 100, 'origin_lang': 'ADIZ', 'pronun_list': '에이디즈'},
{'num': 101, 'origin_lang': 'ADL', 'pronun_list': '에이디엘'},
{'num': 102, 'origin_lang': 'ADM', 'pronun_list': '에이디엠'},
{'num': 103, 'origin_lang': 'ADMD', 'pronun_list': '에이디엠디'},
{'num': 104, 'origin_lang': 'ADP', 'pronun_list': '에이디피'},
{'num': 105, 'origin_lang': 'ADPCM', 'pronun_list': '에이디피시엠'},
{'num': 106, 'origin_lang': 'ADPE', 'pronun_list': '에이디피이'},
{'num': 107, 'origin_lang': 'ADPS', 'pronun_list': '에이디피에스'},
{'num': 108, 'origin_lang': 'ADR', 'pronun_list': '에이디아르'},
{'num': 109, 'origin_lang': 'ADR', 'pronun_list': '에이디알'},
{'num': 110, 'origin_lang': 'ADSL', 'pronun_list': '에이디에스엘'},
{'num': 111, 'origin_lang': 'ADSR', 'pronun_list': '에이디에스아르'},
{'num': 112, 'origin_lang': 'ADT', 'pronun_list': '에이디티'},
{'num': 113, 'origin_lang': 'ADW', 'pronun_list': '에이디더블유'},
{'num': 114, 'origin_lang': 'AE', 'pronun_list': '에이이'},
{'num': 115, 'origin_lang': 'AEBS', 'pronun_list': '에이이비에스'},
{'num': 116, 'origin_lang': 'AEC', 'pronun_list': '에이이시'},
{'num': 117, 'origin_lang': 'AED', 'pronun_list': '에이이디'},
{'num': 118, 'origin_lang': 'AEI', 'pronun_list': '에이이아이'},
{'num': 119, 'origin_lang': 'AEL', 'pronun_list': '에이이엘'},
{'num': 120, 'origin_lang': 'AEM', 'pronun_list': '에이이엠'},
{'num': 121, 'origin_lang': 'AEO', 'pronun_list': '에이이오'},
{'num': 122, 'origin_lang': 'AEP', 'pronun_list': '에이이피'},
{'num': 123, 'origin_lang': 'AES', 'pronun_list': '에이이에스'},
{'num': 124, 'origin_lang': 'AESA', 'pronun_list': '에이이에스에이'},
{'num': 125, 'origin_lang': 'AEW', 'pronun_list': '에이이더블유'},
{'num': 126, 'origin_lang': 'AF', 'pronun_list': '에이에프'},
{'num': 127, 'origin_lang': 'AFA', 'pronun_list': '에이에프에이'},
{'num': 128, 'origin_lang': 'AFAS', 'pronun_list': '에이에프에이에스'},
{'num': 129, 'origin_lang': 'AFB', 'pronun_list': '에이에프비'},
{'num': 130, 'origin_lang': 'AFC', 'pronun_list': '에이에프시'},
{'num': 131, 'origin_lang': 'AFCEA', 'pronun_list': '에이에프시이에이'},
{'num': 132, 'origin_lang': 'AFCI', 'pronun_list': '에이에프시아이'},
{'num': 133, 'origin_lang': 'AFCS', 'pronun_list': '에이에프시에스'},
{'num': 134, 'origin_lang': 'AFD', 'pronun_list': '에이에프디'},
{'num': 135, 'origin_lang': 'AFDB', 'pronun_list': '에이에프디비'},
{'num': 136, 'origin_lang': 'AFESD', 'pronun_list': '에이에프이에스디'},
{'num': 137, 'origin_lang': 'AFG', 'pronun_list': '에이에프지'},
{'num': 138, 'origin_lang': 'AFL', 'pronun_list': '에이에프엘'},
{'num': 139, 'origin_lang': 'AFM', 'pronun_list': '에이에프엠'},
{'num': 140, 'origin_lang': 'AFO', 'pronun_list': '에이에프오'},
{'num': 141, 'origin_lang': 'AFP', 'pronun_list': '에이에프피'},
{'num': 142, 'origin_lang': 'AFPK', 'pronun_list': '에이에프피케이'},
{'num': 143, 'origin_lang': 'AFRC', 'pronun_list': '에이에프아르시'},
{'num': 144, 'origin_lang': 'AFS', 'pronun_list': '에이에프에스'},
{'num': 145, 'origin_lang': 'AFTA', 'pronun_list': '아프타'},
{'num': 146, 'origin_lang': 'AG', 'pronun_list': '에이지'},
{'num': 147, 'origin_lang': 'AGC', 'pronun_list': '에이지시'},
{'num': 148, 'origin_lang': 'AGF', 'pronun_list': '에이지에프'},
{'num': 149, 'origin_lang': 'AGIL', 'pronun_list': '에이지아이엘'},
{'num': 150, 'origin_lang': 'AGM', 'pronun_list': '에이지엠'},
{'num': 151, 'origin_lang': 'AGP', 'pronun_list': '에이지피'},
{'num': 152, 'origin_lang': 'AGT', 'pronun_list': '에이지티'},
{'num': 153, 'origin_lang': 'AGV', 'pronun_list': '에이지브이'},
{'num': 154, 'origin_lang': 'AGVS', 'pronun_list': '에이지브이에스'},
{'num': 155, 'origin_lang': 'AH', 'pronun_list': '아'},
{'num': 156, 'origin_lang': 'AH', 'pronun_list': '에이에이치'},
{'num': 157, 'origin_lang': 'AHD', 'pronun_list': '에이에이치디'},
{'num': 158, 'origin_lang': 'AHDSFR', 'pronun_list': '에이에이치디에스에프아르'},
{'num': 159, 'origin_lang': 'AHDSR', 'pronun_list': '에이에이치디에스아르'},
{'num': 160, 'origin_lang': 'AHT', 'pronun_list': '에이에이치티'},
{'num': 161, 'origin_lang': 'AHU', 'pronun_list': '에이에이치유'},
{'num': 162, 'origin_lang': 'AI', 'pronun_list': '에이아이'},
{'num': 163, 'origin_lang': 'AIA', 'pronun_list': '에이아이에이'},
{'num': 164, 'origin_lang': 'AIBD', 'pronun_list': '에이아이비디'},
{'num': 165, 'origin_lang': 'AICPS', 'pronun_list': '에이아이시피에스'},
{'num': 166, 'origin_lang': 'AID', 'pronun_list': '에이아이디'},
{'num': 167, 'origin_lang': 'AIDA', 'pronun_list': '아이다'},
{'num': 168, 'origin_lang': 'AIDA', 'pronun_list': '에이아이디에이'},
{'num': 169, 'origin_lang': 'AIDCA', 'pronun_list': '아이드카'},
{'num': 170, 'origin_lang': 'AIDMA', 'pronun_list': '에이아이디엠에이'},
{'num': 171, 'origin_lang': 'AIDS', 'pronun_list': '에이아이디에스'},
{'num': 172, 'origin_lang': 'AIDS', 'pronun_list': '에이즈'},
{'num': 173, 'origin_lang': 'AIIB', 'pronun_list': '에이아이아이비'},
{'num': 174, 'origin_lang': 'AIK', 'pronun_list': '에이아이케이'},
{'num': 175, 'origin_lang': 'AIM', 'pronun_list': '에이아이엠'},
{'num': 176, 'origin_lang': 'AIO', 'pronun_list': '에이아이오'},
{'num': 177, 'origin_lang': 'AIOEC', 'pronun_list': '에이아이오이시'},
{'num': 178, 'origin_lang': 'AIQS', 'pronun_list': '에이아이큐에스'},
{'num': 179, 'origin_lang': 'AIR', 'pronun_list': '에이아이아르'},
{'num': 180, 'origin_lang': 'AIR', 'pronun_list': '에이아이알'},
{'num': 181, 'origin_lang': 'AIRMET', 'pronun_list': '에어메트'},
{'num': 182, 'origin_lang': 'AIS', 'pronun_list': '에이아이에스'},
{'num': 183, 'origin_lang': 'AISS', 'pronun_list': '에이아이에스에스'},
{'num': 184, 'origin_lang': 'AIT', 'pronun_list': '에이아이티'},
{'num': 185, 'origin_lang': 'AIX', 'pronun_list': '에이아이엑스'},
{'num': 186, 'origin_lang': 'AJAX', 'pronun_list': '에이제이에이엑스'},
{'num': 187, 'origin_lang': 'AK', 'pronun_list': '에이케이'},
{'num': 188, 'origin_lang': 'ALBM', 'pronun_list': '에이엘비엠'},
{'num': 189, 'origin_lang': 'ALC', 'pronun_list': '에이엘시'},
{'num': 190, 'origin_lang': 'ALCL', 'pronun_list': '에이엘시엘'},
{'num': 191, 'origin_lang': 'ALCM', 'pronun_list': '에이엘시엠'},
{'num': 192, 'origin_lang': 'ALGOL', 'pronun_list': '알골'},
{'num': 193, 'origin_lang': 'ALIO', 'pronun_list': '알리오'},
{'num': 194, 'origin_lang': 'ALM', 'pronun_list': '에이엘엠'},
{'num': 195, 'origin_lang': 'ALOHA', 'pronun_list': '알로하'},
{'num': 196, 'origin_lang': 'ALT', 'pronun_list': '에이엘티'},
{'num': 197, 'origin_lang': 'ALU', 'pronun_list': '에이엘유'},
{'num': 198, 'origin_lang': 'AM', 'pronun_list': '에이엠'},
{'num': 199, 'origin_lang': 'AMA', 'pronun_list': '에이엠에이'},
{'num': 200, 'origin_lang': 'AMADNS', 'pronun_list': '에이엠에이디엔에스'},
{'num': 201, 'origin_lang': 'AMATPS', 'pronun_list': '에이엠에이티피에스'},
{'num': 202, 'origin_lang': 'AMBU', 'pronun_list': '앰부'},
{'num': 203, 'origin_lang': 'AMCHAM', 'pronun_list': '에이엠시에이치에이엠'},
{'num': 204, 'origin_lang': 'AME', 'pronun_list': '에이엠이'},
{'num': 205, 'origin_lang': 'AMEI', 'pronun_list': '에이엠이아이'},
{'num': 206, 'origin_lang': 'AMEX', 'pronun_list': '아멕스'},
{'num': 207, 'origin_lang': 'AMF', 'pronun_list': '에이엠에프'},
{'num': 208, 'origin_lang': 'AMI', 'pronun_list': '에이엠아이'},
{'num': 209, 'origin_lang': 'AMM', 'pronun_list': '에이엠엠'},
{'num': 210, 'origin_lang': 'AMOLED', 'pronun_list': '아몰레드'},
{'num': 211, 'origin_lang': 'AMP', 'pronun_list': '에이엠피'},
{'num': 212, 'origin_lang': 'AMR', 'pronun_list': '에이엠아르'},
{'num': 213, 'origin_lang': 'AMRO', 'pronun_list': '에이엠아르오'},
{'num': 214, 'origin_lang': 'AMRO', 'pronun_list': '에이엠알오'},
{'num': 215, 'origin_lang': 'AMS', 'pronun_list': '에이엠에스'},
{'num': 216, 'origin_lang': 'AMT', 'pronun_list': '에이엠티'},
{'num': 217, 'origin_lang': 'AMTI', 'pronun_list': '에이엠티아이'},
{'num': 218, 'origin_lang': 'AMU', 'pronun_list': '에이엠유'},
{'num': 219, 'origin_lang': 'AMeDAS', 'pronun_list': '아메다스'},
{'num': 220, 'origin_lang': 'ANA', 'pronun_list': '아나'},
{'num': 221, 'origin_lang': 'ANASIS', 'pronun_list': '아나시스'},
{'num': 222, 'origin_lang': 'ANC', 'pronun_list': '에이엔시'},
{'num': 223, 'origin_lang': 'ANCA', 'pronun_list': '안카'},
{'num': 224, 'origin_lang': 'ANCOM', 'pronun_list': '안콤'},
{'num': 225, 'origin_lang': 'ANCOM', 'pronun_list': '에이엔시오엠'},
{'num': 226, 'origin_lang': 'ANCOM', 'pronun_list': '에이엔콤'},
{'num': 227, 'origin_lang': 'AND', 'pronun_list': '앤드'},
{'num': 228, 'origin_lang': 'ANDF', 'pronun_list': '에이엔디에프'},
{'num': 229, 'origin_lang': 'ANF', 'pronun_list': '에이엔에프'},
{'num': 230, 'origin_lang': 'ANI', 'pronun_list': '에이엔아이'},
{'num': 231, 'origin_lang': 'ANN', 'pronun_list': '에이엔엔'},
{'num': 232, 'origin_lang': 'ANOVA', 'pronun_list': '아노바'},
{'num': 233, 'origin_lang': 'ANSA', 'pronun_list': '안사'},
{'num': 234, 'origin_lang': 'ANSCII', 'pronun_list': '앤스키'},
{'num': 235, 'origin_lang': 'ANSI', 'pronun_list': '안시'},
{'num': 236, 'origin_lang': 'ANSI', 'pronun_list': '에이엔에스아이'},
{'num': 237, 'origin_lang': 'ANSl', 'pronun_list': '안시'},
{'num': 238, 'origin_lang': 'ANTU', 'pronun_list': '안투'},
{'num': 239, 'origin_lang': 'ANZAC', 'pronun_list': '앤잭'},
{'num': 240, 'origin_lang': 'ANZUS', 'pronun_list': '앤저스'},
{'num': 241, 'origin_lang': 'AOC', 'pronun_list': '에이오시'},
{'num': 242, 'origin_lang': 'AOD', 'pronun_list': '에이오디'},
{'num': 243, 'origin_lang': 'AOE', 'pronun_list': '에이오이'},
{'num': 244, 'origin_lang': 'AOQ', 'pronun_list': '에이오큐'},
{'num': 245, 'origin_lang': 'AOQC', 'pronun_list': '에이오큐시'},
{'num': 246, 'origin_lang': 'AOQL', 'pronun_list': '에이오큐엘'},
{'num': 247, 'origin_lang': 'AOS', 'pronun_list': '에이오에스'},
{'num': 248, 'origin_lang': 'AOV', 'pronun_list': '에이오브이'},
{'num': 249, 'origin_lang': 'AOW', 'pronun_list': '에이오더블유'},
{'num': 250, 'origin_lang': 'AP', 'pronun_list': '에이피'},
{'num': 251, 'origin_lang': 'APAR', 'pronun_list': '에이피에이아르'},
{'num': 252, 'origin_lang': 'APB', 'pronun_list': '에이피비'},
{'num': 253, 'origin_lang': 'APC', 'pronun_list': '에이피시'},
{'num': 254, 'origin_lang': 'APD', 'pronun_list': '에이피디'},
{'num': 255, 'origin_lang': 'APDU', 'pronun_list': '에이피디유'},
{'num': 256, 'origin_lang': 'APEC', 'pronun_list': '에이펙'},
{'num': 257, 'origin_lang': 'API', 'pronun_list': '에이피아이'},
{'num': 258, 'origin_lang': 'APK', 'pronun_list': '에이피케이'},
{'num': 259, 'origin_lang': 'APL', 'pronun_list': '에이피엘'},
{'num': 260, 'origin_lang': 'APM', 'pronun_list': '에이피엠'},
{'num': 261, 'origin_lang': 'APMS', 'pronun_list': '에이피엠에스'},
{'num': 262, 'origin_lang': 'APN', 'pronun_list': '에이피엔'},
{'num': 263, 'origin_lang': 'APNIC', 'pronun_list': '에이피닉'},
{'num': 264, 'origin_lang': 'APO', 'pronun_list': '에이피오'},
{'num': 265, 'origin_lang': 'APPC', 'pronun_list': '에이피피시'},
{'num': 266, 'origin_lang': 'APR', 'pronun_list': '에이피아르'},
{'num': 267, 'origin_lang': 'APS', 'pronun_list': '에이피에스'},
{'num': 268, 'origin_lang': 'APSK', 'pronun_list': '에이피에스케이'},
{'num': 269, 'origin_lang': 'APSS', 'pronun_list': '에이피에스에스'},
{'num': 270, 'origin_lang': 'APT', 'pronun_list': '아프트'},
{'num': 271, 'origin_lang': 'APT', 'pronun_list': '에이피티'},
{'num': 272, 'origin_lang': 'APTS', 'pronun_list': '에이피티에스'},
{'num': 273, 'origin_lang': 'APU', 'pronun_list': '에이피유'},
{'num': 274, 'origin_lang': 'APV', 'pronun_list': '에이피브이'},
{'num': 275, 'origin_lang': 'AQ', 'pronun_list': '에이큐'},
{'num': 276, 'origin_lang': 'AQL', 'pronun_list': '에이큐엘'},
{'num': 277, 'origin_lang': 'AR', 'pronun_list': '에이아르'},
{'num': 278, 'origin_lang': 'AR', 'pronun_list': '에이알'},
{'num': 279, 'origin_lang': 'ARAEN', 'pronun_list': '에이아르에이이엔'},
{'num': 280, 'origin_lang': 'ARBL', 'pronun_list': '에이아르비엘'},
{'num': 281, 'origin_lang': 'ARCF', 'pronun_list': '에이아르시에프'},
{'num': 282, 'origin_lang': 'ARDS', 'pronun_list': '에이아르디에스'},
{'num': 283, 'origin_lang': 'ARF', 'pronun_list': '에이아르에프'},
{'num': 284, 'origin_lang': 'ARJ', 'pronun_list': '에이아르제이'},
{'num': 285, 'origin_lang': 'ARM', 'pronun_list': '에이아르엠'},
{'num': 286, 'origin_lang': 'ARP', 'pronun_list': '에이아르피'},
{'num': 287, 'origin_lang': 'ARPA', 'pronun_list': '아르파'},
{'num': 288, 'origin_lang': 'ARPA', 'pronun_list': '알파'},
{'num': 289, 'origin_lang': 'ARPA', 'pronun_list': '에이아르피에이'},
{'num': 290, 'origin_lang': 'ARPPU', 'pronun_list': '에이알피피유'},
{'num': 291, 'origin_lang': 'ARPU', 'pronun_list': '에이아르피유'},
{'num': 292, 'origin_lang': 'ARQ', 'pronun_list': '에이아르큐'},
{'num': 293, 'origin_lang': 'ARR', 'pronun_list': '에이아르아르'},
{'num': 294, 'origin_lang': 'ARS', 'pronun_list': '에이아르에스'},
{'num': 295, 'origin_lang': 'ARS', 'pronun_list': '에이알에스'},
{'num': 296, 'origin_lang': 'ART', 'pronun_list': '아트'},
{'num': 297, 'origin_lang': 'ART', 'pronun_list': '에이아르티'},
{'num': 298, 'origin_lang': 'ARTCC', 'pronun_list': '에이아르티시시'},
{'num': 299, 'origin_lang': 'ARV', 'pronun_list': '에이아르브이'},
{'num': 300, 'origin_lang': 'AS', 'pronun_list': '에이에스'},
{'num': 301, 'origin_lang': 'ASA', 'pronun_list': '에이에스에이'},
{'num': 302, 'origin_lang': 'ASAT', 'pronun_list': '에이샛'},
{'num': 303, 'origin_lang': 'ASC', 'pronun_list': '에이에스시'},
{'num': 304, 'origin_lang': 'ASCII', 'pronun_list': '아스키'},
{'num': 305, 'origin_lang': 'ASCS', 'pronun_list': '에이에스시에스'},
{'num': 306, 'origin_lang': 'ASD', 'pronun_list': '에이에스디'},
{'num': 307, 'origin_lang': 'ASE', 'pronun_list': '에이에스이'},
{'num': 308, 'origin_lang': 'ASEAN', 'pronun_list': '아세안'},
{'num': 309, 'origin_lang': 'ASEM', 'pronun_list': '아셈'},
{'num': 310, 'origin_lang': 'ASEM', 'pronun_list': '에이에스이엠'},
{'num': 311, 'origin_lang': 'ASF', 'pronun_list': '에이에스에프'},
{'num': 312, 'origin_lang': 'ASI', 'pronun_list': '에이에스아이'},
{'num': 313, 'origin_lang': 'ASIC', 'pronun_list': '에이식'},
{'num': 314, 'origin_lang': 'ASIC', 'pronun_list': '에이에스아이시'},
{'num': 315, 'origin_lang': 'ASK', 'pronun_list': '에이에스케이'},
{'num': 316, 'origin_lang': 'ASM', 'pronun_list': '에이에스엠'},
{'num': 317, 'origin_lang': 'ASME', 'pronun_list': '에이에스엠이'},
{'num': 318, 'origin_lang': 'ASMO', 'pronun_list': '아스모'},
{'num': 319, 'origin_lang': 'ASMR', 'pronun_list': '에이에스엠알'},
{'num': 320, 'origin_lang': 'ASP', 'pronun_list': '에이에스피'},
{'num': 321, 'origin_lang': 'ASPAC', 'pronun_list': '아스팍'},
{'num': 322, 'origin_lang': 'ASPPR', 'pronun_list': '에이에스피피아르'},
{'num': 323, 'origin_lang': 'ASPT', 'pronun_list': '에이에스피티'},
{'num': 324, 'origin_lang': 'ASR', 'pronun_list': '에이에스아르'},
{'num': 325, 'origin_lang': 'ASRP', 'pronun_list': '에이에스아르피'},
{'num': 326, 'origin_lang': 'ASS', 'pronun_list': '에이에스에스'},
{'num': 327, 'origin_lang': 'ASSM', 'pronun_list': '에이에스에스엠'},
{'num': 328, 'origin_lang': 'ASSR', 'pronun_list': '에이에스에스아르'},
{'num': 329, 'origin_lang': 'ASSR', 'pronun_list': '에이에스에스알'},
{'num': 330, 'origin_lang': 'ASTA', 'pronun_list': '에이에스티에이'},
{'num': 331, 'origin_lang': 'ASTM', 'pronun_list': '에이에스티엠'},
{'num': 332, 'origin_lang': 'ASVD', 'pronun_list': '에이에스브이디'},
{'num': 333, 'origin_lang': 'ASW', 'pronun_list': '에이에스더블유'},
{'num': 334, 'origin_lang': 'AT', 'pronun_list': '에이티'},
{'num': 335, 'origin_lang': 'ATA', 'pronun_list': '에이티에이'},
{'num': 336, 'origin_lang': 'ATAPI', 'pronun_list': '에이티에이피아이'},
{'num': 337, 'origin_lang': 'ATB', 'pronun_list': '에이티비'},
{'num': 338, 'origin_lang': 'ATC', 'pronun_list': '에이티시'},
{'num': 339, 'origin_lang': 'ATCRBS', 'pronun_list': '에이티시아르비에스'},
{'num': 340, 'origin_lang': 'ATDP', 'pronun_list': '에이티디피'},
{'num': 341, 'origin_lang': 'ATDT', 'pronun_list': '에이티디티'},
{'num': 342, 'origin_lang': 'ATE', 'pronun_list': '에이티이'},
{'num': 343, 'origin_lang': 'ATF', 'pronun_list': '에이티에프'},
{'num': 344, 'origin_lang': 'ATI', 'pronun_list': '에이티아이'},
{'num': 345, 'origin_lang': 'ATIS', 'pronun_list': '에이티아이에스'},
{'num': 346, 'origin_lang': 'ATLAS', 'pronun_list': '아틀라스'},
{'num': 347, 'origin_lang': 'ATM', 'pronun_list': '에이티엠'},
{'num': 348, 'origin_lang': 'ATMM', 'pronun_list': '에이티엠엠'},
{'num': 349, 'origin_lang': 'ATMS', 'pronun_list': '에이티엠에스'},
{'num': 350, 'origin_lang': 'ATN', 'pronun_list': '에이티엔'},
{'num': 351, 'origin_lang': 'ATNG', 'pronun_list': '에이티엔지'},
{'num': 352, 'origin_lang': 'ATO', 'pronun_list': '에이티오'},
{'num': 353, 'origin_lang': 'ATP', 'pronun_list': '에이티피'},
{'num': 354, 'origin_lang': 'ATPase', 'pronun_list': '에이티피아제'},
{'num': 355, 'origin_lang': 'ATPase', 'pronun_list': '에이티피에이스'},
{'num': 356, 'origin_lang': 'ATR', 'pronun_list': '에이티아르'},
{'num': 357, 'origin_lang': 'ATRK', 'pronun_list': '에이티아르케이'},
{'num': 358, 'origin_lang': 'ATS', 'pronun_list': '에이티에스'},
{'num': 359, 'origin_lang': 'ATSC', 'pronun_list': '에이티에스시'},
