가고일스, gargoyles
갈릭, garlic
소스, sauce
갈린, gallin
갈바노, galvano
스크린, screen
갈바노미터, galvanometer
갈바니즘, galvanism
갈바닉, galvanic
갈토니아, galtonia
감비손, gambeson
갓, god
갓, got
콜드, called
겜, game
갓즈, gods
라스트, last
기프트, gift
템, item
강, gaung
바웅, baung
강가루, kangaroo
강고사, gangosa
강글리오사이드, ganglioside
강글리오시드, ganglioside
강두라, gandoura
개그, gag
댄스, dance
아이돌, idol
코드, code
프로, program
개그맨, gagman
개그우먼, gagwoman
개노필라이트, ganophyllite
개더, gather
요크, yoke
개더드, gathered
울, wool
케이프, cape
팬츠, pants
개더링, gathering
로더, loader
피즈코즈, peascods
개더, gathered
스커트, skirt
개라지, garage
펑크, punk
개러지, garage
개런티, guarantee
개런티드, guaranteed
레저베이션, reservation
개리슨, garrison
캡, cap
개민, gamine
개버딘, gaberdine
개스, gas
개스킷, gasket
개스트로섹슈얼, gastrosexual
개스핑, gasping
개지트, gadget
디테일, detail
개퍼, gaffer
개퍼드, gaffered
실크, silk
개프, gaff
개프트, gapped
스케일, scale
갠트리, gantry
로봇, robot
시스템, system
갤러리, gallery
갤러웨이, galloway
튜브, tube
갤러티어, galatea
갤러핑, galloping
인플레이션, inflation
갤럭시, galaxy
웨어, wear
갤런, gallon
레이스, lace
갤런트, gallant
스타일, style
갤런틴, galantine
갤럽, gallop
무브먼트, movement
갤론, gallon
갤룬, galloon
갤리, galley
갤리개스킨즈, galligaskins
갤리어드, galliard
갤패트, GALPAT
갬브룬, gambroon
갬블, gamble
온, on
디펜스, defense
갬블러, gambler
스트라이프, stripe
갬비슨, gambeson
갬자, gamza
갭, gap
그레이딩, grading
다운, down
업, up
이펙트, effect
정션, junction
파이낸싱, financing
필러, filler
레이더, radar
히터, hitter
갭핑, gapping
갱, gang
룩, look
서베이, survey
차트, chart
폼, form
갱네일, gangnail
갱스터, gangster
슈트, suit
에이지, age
갱웨이, gangway
거글, goggles
거나이트, gunite
슈팅, shooting
거너, gunner
거니, gunny
색킹, sacking
클로스, cloth
거닝, gunning
패턴, pattern
거더, girder
거들, girdle
팬티, panties
팬티, panty
거들스테드, girdlestead
거미즈, gummies
거버너, governor
런백, runback
모터, motor
스위치, switch
임펠러, impeller
거버넌스, governance
거베라, gerbera
거스, girth
히치, hitch
거싯, gusset
백, back
숄더, shoulder
플레이트, plate
거전, gudgeon
핀, pin
거즈, gauze
위브, weave
거타, gutta
페르카, percha
거터, gutter
볼, ball
툴, tool
거트, gut
기타, guitar
렌치, wrench
수플렉스, suplex
엘리베이티드, elevated
넥, neck
브레이커, breaker
파워, power
봄, bomb
버스터, buster
체크, check
거피, guppy
건, gun
마이크, mike
세트, set
셋트, set
숍, shop
앤드, and
런, run
점핑, jumping
타입, type
태클, tackle
패치, patch
플랩, flap
피니시, finish
건너, gunner
건맨, gunman
건메탈, gunmetal
건보트, gunboat
건십, gunship
클럽, club
걸, girl
그룹, group
크러쉬, crush
크러시, crush
걸로시, galosh
파스닝, fastening
걸리시, girlish
마케팅, marketing
걸스, girls
사이즈, size
걸프, gulp
검, gum
로진, rosin
웨이스트, waste
검드, gummed
테이프, tape
것, gut
밤, bomb
게놈, genome
라이브러리, library
게니스테인, genistein
게니포시드, geniposide
게닌, genin
게레눅, gerenuk
게로미르톨, gelomyrtol
게론틴, gerontin
게르, ger
게르만, germane
게리맨더링, gerrymandering
게마조신, gemazocine
게메프로스트, gemeprost
게스, guess
게스타겐, gestagen
게스탑, gestapft
게스토겐, gestogen
게스트, guest
레저, ledger
리엔지니어링, reengineering
아이디, ID
엔지니어링, engineering
오큐펀시, occupancy
차지, charge
하우스, house
게이, gay
셔츠, shirt
아트, art
컬러, color
게이머, gamer
게이미피케이션, gamification
게이밍, gaming
마우스, mouse
보드, board
시뮬레이션, simulation
퍼스, purse
게이블, gable
보닛, bonnet
해트, hat
헤드드레스, headdress
후드, hood
게이소스페르민, geissosprmine
글라스, glass
보손, boson
보존, boson
블록, block
스트럿, strut
타이, tie
퍼텐셜, potential
피스, piece
게이지노, gaugino
게이징, gauging
게이징, gaging
스레드, thread
게이터, gaiter
트라우저즈, trousers
판탈룬즈, pantaloons
게이트, gate
그루브, groove
래치, latch
레벨, level
시뮬레이터, simulator
스위프, sweep
앨리, alley
어레이, array
클락, clock
키퍼, keeper
키핑, keeping
펄스, pulse
웨이, way
게이트웨이, gateway
노드, node
스크립트, script
게이트폴드, gatefold
게이팅, gating
게인, gain
비포어, before
피드백, feedback
스테이지, stage
스테이징, staging
콘트롤, control
게일릭, gaelic
풋볼, football
게임, game
그래픽, graphic
노트북, notebook
룸, room
매니저, manager
머니, money
머신, machine
사이트, site
소프트웨어, software
스트리밍, streamimg
시나리오, scenario
신디케이션, syndication
아웃, out
아이템, item
피싱, fishing
파카, parka
오디오, audio
오버, over
올, all
위닝, winning
아르비아이, RBI
지니, genie
채널, channel
체인저, changer
칩, chip
카드, card
캐스터, caster
컨트롤, control
어댑터, adaptor
콘서트, concert
콘텐츠, contents
크랙, crack
텍스트, text
트레이닝, training
트리, tree
포인트, point
포트, port
폰, phone
메이커, maker
게임스맨십, gamesmanship
게임즈맨, gamesman
팩, pack
게코, gecko
게터, getter
게터링, gettering
게토, ghetto
드롭, drop
게트, get
인, in
캐릭터, character
게팅, getting
게파르나트, gefarnate
게파메이트, gefamate
게피론, gepirone
겐타마이신, gentamycin
겐티아닌, gentianine
겐티안, gentian
바이올렛, violet
겐티오비오스, gentiobiose
겔, gele
겔호른, Gellhorn
페사리, pessary
겜브로솔, gambrosol
트리오, trio
겜스복, gemsbok
겜티즌, gamtizen
겜피브로질, gemfibrozil
겟, get
투, two
고, go
더, the
디스턴스, distance
루트, route
모션, motion
비하인드, behind
어헤드, ahead
투, to
홀, hole
스쿨, school
슬립, sleep
부츠, boots
워치, watch
워치밴드, watchband
펀드, fund
고글, goggles
고나도레린, gonadorelin
고나도렐린, gonadorelin
고나도트로핀, gonadotropin
고나딘, gonadin
고노메리, gonomery
고노토콘트, gonotocont
고노포디움, gonopodium
고니오미터, goniometer
안테나, antenna
고니오톡신, gonyautoxin
고니오포토미터, goniophotometer
고데, godet
플리츠, pleats
고데티아, godetia
고드, gourd
고드, gord
고디스, goddess
슬리브, sleeve
고디언, gordian
노트, knot
고리, gory
스페셜, special
고릴라, gorilla
고릴라, gorila
프레스, press
드랍, drop
슬램, slam
고미신, gomisin
고보, gobo
고브, gob
고블, gobble
고블릿, goblet
스쾃, squat
스쿼트, squat
칼라, collar
고서머, gossamer
고세나이트, goshenite
고세렐린, goserelin
고스, goth
스톱, stop
고스트, ghost
글라이드, glide
에이커, acre
이미지, image
고스플랜, Gosplan
고시폴, gossypol
고십, GOSIP
고어, gore
고어드, gored
고위트린, goitrin
고이터, goiter
고잉, going
프라이빗, private
고저스, gorgeous
메이크업, makeup
고지, gorge
다트, dart
고지트, gorget
고카트, gocart
고트, GOAT
고티, goatee
비어드, beard
고티푸아스, Gotipuas
고퍼, gopher
서버, server
클라이언트, client
고퍼링, goffering
고프코어, gorpcore
곤, gone
곤도리어, gondolier
곤틀레트, gauntlet
커프스, cuffs
곤틀릿, gauntlet
골, goal
레퍼리, referee
세레모니, ceremony
세리머니, ceremony
슛, shoot
스로, throw
스택, stack
에어리어, area
저지, judge
크리스, crease
오프사이드, offside
텐딩, tending
폴, pole
네트, net
골드, gold
나노파티클, nanoparticle
마크, mark
디거, digger
디스크, disc
맘, mom
미스, Miss
미스터, mister
미시, missy
뱅킹, banking
스탠더드, standard
악센트, accent
앨범, album
컵, cup
키드, kid
키즈, kids
티슈, tissue
파파, papa
러시, rush
골드스미스, goldsmith
노트, note
클로라이드, chloride
키위, kiwi
골든, golden
글러브, glove
디스크, disk
머스크랫, muskrat
시드, seed
프로젝트, project
웨이브, wave
위크, week
크로스, cross
파라슈트, parachute
실, seal
아워, hour
골디락스, goldilocks
골리곤, golygon
골볼, goalball
골키퍼, goalkeeper
드로우, throw
킥, kick
골패, golpe
골퍼, golfer
리조트, resort
베스트, vest
슈즈, shoes
스니커, sneaker
스윙, swing
아웃피츠, outfits
재킷, jacket
카트, cart
컨디셔닝, conditioning
코스, course
팀, team
팬, fan
곱스, GOPS
공, gong
심볼, cymbal
공길리디아, gongylidia
과나키토, guanaquito
과라나, guarana
과율, guayule
과이어베라, guayabera
과이어세틴, guaiacetin
과이어콜, guaiacol
과이어폼, guaiaform
구골, googol
구골플렉스, googolplex
구라미, gourami
구루빙, grooving
구스, GOOSE
구스, guss
아스팔트, asphalt
구스, goose
에그, egg
구스넥, gooseneck
매키노, mackinaw
구스베리, gooseberry
구아, guar
구아네티딘, guanethidine
구아노, guano
구아노신, guanosine
구아니딘, guanidine
구아닌, guanine
사이클레이즈, cyclase
구아닐레이트, guanylate
구아닐릴, guanylyl
구아라나, guarana
구아르, guar
껌, gum
구아버, guava
구아세티살, guacetisal
구아야줄렌, guaiazulene
구아야콜, guaiacol
구아율, guayule
구아이아놀리드, guaianolide
구아이페네신, guaifenesin
구아자틴, guazatine
구안파신, guanfacine
구이덕, geoduck
구타, gutta
구트라, ghutra
구티온, guthion
구피, guppy
굴라시, goulash
굴랍, gulab
자문, jamun
굴로노락톤, gulonolactone
굴로스, gulose
굴로오스, gulose
굿, good
나이트, night
나잇, night
디자인, design
리퍼, leaper
굿, Good
모닝, Morning
하트에이크, Heartache
뱅크, bank
플레잉, playing
피팅, fitting
진, jeans
굿바이, goodbye
홈런, homerun
히트, hit
굿즈, goods
그나, gna
그네툼, gnetum
그놈, GNOME
그누텔라, gnutella
그라나, grana
그라나틴, granatin
그라눔, granum
그라뉼라아제, granulase
그라니세트론, granisetron
그라데이션, gradation
티, T
그라도코엔, gradocoen
그라마, grama
그라마폰, gramophone
레코드, record
그라모돔, gramoderm
그라모폰, gramophone
그라미시딘, gramicidin
그라민, gramine
그라비어, gravure
그라스, grass
러그, rug
벙커, bunker
사일리지, silage
임브로이더리, embroidery
테타니, tetany
그라야노톡신, grayanotoxin
그라우스, grouse
그라우저, grouser
그라우트, grout
리세스, recess
리프트, lift
믹서, mixer
벤트, vent
시멘트, cement
커튼, curtain
그라우팅, grouting
그라운드, ground
레슬링, wrestling
로우, row
스트립, strip
룰, rule
보이, boy
스매시, smash
스트로크, stroke
앵커, anchor
앵커리지, anchorage
언더, under
리페어, repair
점퍼, jumper
커버, cover
플랜츠, plants
핸들링, handling
호퍼, hopper
그라운드시트, groundsheet
그라운딩, grounding
그라울, growl
그라울러, growler
그라인더, grinder
그라인드코어, grindcore
그라인딩, grinding
밀, mill
그라펜, graphene
그라피티, graffiti
그란자임, granzyme
그래널리식, granolithic
그래놀리스, granolith
그래놀리식, granolithic
그래뉼, granule
그래뉼라, granular
신테시스, synthesis
그래뉼레이션, granulation
그래뉼로포이에틴, granulopoietin
그래니, granny
드레스, dress
블라우스, blouse
그래니트, granite
그래닛, granite
핑크, pink
그래듀멧, gradumet
그래머, grammar
그래버, grabber
그래벌, gravel
매트, mat
필, fill
댐, dam
그래브, grab
버킷, bucket
훅, hook
그래비티, gravity
스플릿, split
그래비티노, gravitino
그래서, grasser
그래스, grass
스키, skiing
그린, green
그래스텍스, grasstex
코트, court
그래스하퍼, grasshopper
포즈, pose
그래이, grey
워터, water
그래주에이션, graduation
보브, bob
커트, cut
그래주에이티드, graduated
텍스처, texture
그래파이트, graphite
그래포스코프, graphoscope
그래프, graph
저널리즘, journalism
그래프, graf
폴로어, follower
그래프털, graftal
그래프트, graft
코폴리머, copolymer
폴리머, polymer
그래플, grapple
그래플링, grappling
그래피시즘, graphicism
그래피컬, graphical
커널, kernel
프리미티브, primitive
그래피티, graffiti
아티스트, artist
노블, novel
노테이션, notation
니트, knit
데이터, data
프로세싱, processing
디바이스, device
인터페이스, interface
컨트롤러, controller
루틴, routine
메모리, memory
모드, mode
에디터, editor
엘리먼트, element
유저, user
이퀄라이저, equalizer
이퀼라이저, equalizer
오버클로킹, overclocking
커뮤니케이션, communication
그래픽, graphics
코프로세서, coprocessor
태블릿, tablet
터미널, terminal
트위드, tweed
패스워드, password
프로그램, program
프린터, printer
그래픽스, graphics
디지타이저, digitizer
액셀러레이터, accelerator
어댑터, adapter
워크스테이션, workstation
인터체인지, interchange
포맷, format
키, key
그래핌, grapheme
그랜드, grand
드레이퍼리, drapery
드레이프, drape
마스터, master
매너, manner
매스터, master
바겐, bargain
서클, circle
슬래머, slammer
슬럼, slam
아치, arch
오페라, opera
오프닝, opening
오픈, open
투어, tour
포즈, pause
포지션, position
피아노, piano
마이킹, miking
액션, action
라운드, rounds
그랜드렐, grandrelle
패브릭, fabric
그랜드스탠드, grandstand
투어링, touring
카, car
그랜드파, grandpa
그랜드파더, grandfather
네크라인, neckline
그랜드파더링, grandfathering
그랜트, grant
그램, gram
이온, ion
칼로리, calorie
톤, ton
그랩, grab
샘플, sample
샘플링, sampling
스타트, start
그러데이셔널, gradational
프린트, print
그러데이션, gradation
네일, nail
퍼, fur
그러브, grub
그런지, grunge
패션, fashion
그레고, grego
그레고리안, gregorian
그레나딘, grenadine
그레이, gray
그레이, grey
구, goo
마켓, market
모닝, morning
밸런스, balance
임포터, importer
토퍼, topper
폭스, fox
해커, hacker
그레이네상스, greynaissance
그레이닝, graining
그레이더, grader
그레이드, grade
레이스, race
턱, tuck
그레이디언트, gradient
그레이버, graver
그레이비, gravy
그레이셔, glacier
그레이스케일, grayscale
그레이스풀, graceful
엑시트, exit
그레이시, grayish
그레이아웃, grayout
그레이웨어, grayware
그레이즈드, grazed
그레이지, greige
그레이트, great
그로스, gross
서펜트, serpent
마운드, mound
오르간, organ
트렉, trek
그레이팅, grating
그레이프, grape
바인, vine
스킨, skin
그레이프바인, grapevine
스텝, step
그레이프프루트, grapefruit
그레이프프릇, grapefruit
히아신스, hyacinth
그레이하운드, greyhound
그레인, grain
디렉션, direction
바운더리, boundary
우스티드, worsted
그레인드, grained
위스키, whiskey
그렉시트, Grexit
그렐린, ghrelin
그로, grow
슬리퍼, sleeper
그로그럼, grogram
그로기, groggy
그로멧, grommet
그로미트, grommet
그로밋, grommet
그로셴, groschen
레팅, rating
그로스, growth
리세션, recession
스킬, skill
스프레드, spread
인덱스, index
캐피털, capital
해킹, hacking
그로우트, groat
그론, grown
모헤어, mohair
그루밍, grooming
신시사이저, synthesizer
에이전트, agent
원, one
클립, clip
그루비, groovy
그루빙, grooving
그루퍼, grouper
그루피, groopie
그루핑, grouping
그룸드, groomed
오어, oar
다이내믹스, dynamics
루프, loop
뮤트, mute
바이, buy
브랜드, brand
섹스, sex
어드레스, address
메시지, message
워크, work
윈도, window
채팅, chatting
캡티브, captive
퀼트, quilt
태그, tag
테크놀로지, technology
그룹, Group
포, four
프린팅, printing
사운드, sound
웨어, ware
그룹페이지, groupage
홈, home
그리너리, greenery
그리노믹스, greenomics
그리니, greenie
그리드, grid
네트워크, network
딜리버리, delivery
딥, dip
리크, leak
모델, model
바이어스, bias
베이스팅, basting
블라스트, blast
시트, sheet
어카운팅, accounting
인프라, infrastructure
컴퓨팅, computing
파일, file
포텐셜, potential
플래닝, planning
그리드아이언, gridiron
그리디, greedy
알고리듬, algorithm
알고리즘, algorism
그리딩, gridding
그리브, greave
그리브, grebe
그리세오풀빈, griseofulvin
그리스, grease
테이블, table
그리오, griot
그리이즈, grease
그리즐리, grizzly
그리지, greasy
그리킹, greeking
그리퍼, griefer
그리퍼, gripper
파스너, fastener
그리피사이트, griffithite
그리핀, griffin
디벨로퍼, developer
레이저, laser
그린, GRIN
루프, roof
리넨, linen
리더십, leadership
리모델링, remodeling
메일, mail
메일러, mailer
미스트, mist
바이오, bio
바이오테크, biotech
박스, box
베이컨, bacon
북, book
블루, blue
비즈니스, business
빌딩, building
섬, some
솔팅, salting
슈트, shoots
스카우트, scout
스토어, store
스페이스, space
시프트, shift
아이티, IT
애쉬, ash
업그레이드, upgrade
에너지, energy
오너, owner
오션, ocean
오일, oil
워시, wash
인테리어, interior
잡, job
지디피, GDP
그린, Green
지엔피, GNP
커리큘럼, curriculum
컨슈머, consumer
컴퓨터, computer
케미스트리, chemistry
코디, coordinator
코디네이터, coordinator
크레디트, credit
터널, tunnel
터프, tuff
투어리즘, tourism
티비, TV
파트너, partner
파트너십, partnership
팩스, fax
포크, pork
폴리틱스, politics
푸드, food
프리미엄, premium
피시, PC
그린노믹스, greennomics
그린닥, GreenDAQ
그린룸, greenroom
망고, mango
그린백, greenback
그린벨트, greenbelt
샐러드, salad
그린웨이, greenway
그린카드, greencard
페퍼, pepper
플래시, flash
피, fee
피스, peas
그릴, grill
소시지, sausage
그립, grip
트럭, truck
그릿, grit
그릿츠, grits
그링고, gringo
커터, cutter
글라디올러스, gladiolus
글라마, GLMA
글라민, glamin
글라벨라, glabella
라이닝, lining
암, arm
타월링, toweling
파이버, fiber
폼, foam
하모니카, harmonica
글라신, glassine
글라우신, glaucine
글라이더, glider
왁스, wax
패스, path
글라이딩, gliding
페그, peg
글라이신, glycine
글라이옥살레이스, glyoxalase
글라이옥실레이트, glyoxylate
글라이코스아미노글라이칸, glycosaminoglycan
글라이코젠, glycogen
글라페닌, glafenine
글래드스턴, gladstone
글래머러스, glamorous
셰이프, shape
글래스, glass
크래쉬, crash
글랜드, gland
글램, glam
스포티, sporty
파마, permanent
글램핑, glamping
버튼, button
토스, toss
글레어, glare
실드, shield
콘스턴트, constant
글레이즈, glaze
글레이즈드, glazed
글레이징, glazing
비드, bead
글렌, glen
플레이드, plaid
글렌개리, glengarry
글로, glow
코로나, corona
플러그, plug
호크, hawk
헤어스타일, hairstyle
글로리, glory
글로리아, gloria
글로리아나, gloriana
글로리오사, gloriosa
글로버, glover
니들, needle
글로벌, global
내비게이션, navigation
다큐, documentary
다큐멘터리, documentary
데이터베이스, database
로밍, roaming
마인드, mind
마트, mart
베리어블, variable
벤치마킹, benchmarking
본드, bond
빔, beam
셀러, seller
소싱, sourcing
스탠다드, standard
스트라이크, strike
시빌, civil
소사이어티, society
심벌, symbol
오퍼레이션, operation
유니콘, unicorn
이슈, issue
임밸런스, imbalance
카탈로그, catalog
코먼스, commons
콘트랙트, contract
글로벌, Global
콤팩트, Compact
트랜잭션, transaction
트레이딩, trading
페이징, paging
헤지, hedge
글로벌라이제이션, globalization
글로벌루션, globalution
글로벌리즘, globalism
글로보보스, globoboss
글로보이드, globoid
글로불린, globulin
글로브, globe
글로블린, globulin
글로비게리나, globigerina
글로비시, globish
글로비시티, globesity
글로빈, globin
글로서리, glossary
글로스, gloss
바니시, varnish
스타터, starter
글로시, glossy
글로컬, glocal
글로컬라이제이션, glocalization
글로크, glocke
판초, poncho
글록시니아, gloxinia
글루, glue
드라이어, dryer
글루밍, grooming
글루시톨, glucitol
글루온, gluon
글루카곤, glucagon
글루칸, glucan
글루코기탈록신, glucogitaloxin
글루코만난, glucomannan
글루코사민, glucosamine
글루코사이드, glucoside
글루코사존, glucosazone
글루코세레브로사이드, glucocerebroside
글루코세레브로시다제, glucocerebrosidase
글루코스, glucose
글루코시노레이트, glucosinolate
글루코시놀레이트, glucosinolate
글루코시데이스, glucosidase
글루코시드, glucoside
글루코실세라마이드, glucosylceramide
글루코오스, glucose
글루코제네시스, glucogenesis
글루코코르티코이드, glucocorticoid
글루코키나아제, glucokinase
글루코푸라노스, glucofuranose
글루코프로테이드, glucoproteid
글루코피라노스, glucopyranose
글루코피라노오스, glucopyranose
글루콜리피드, glucolipid
글루쿠로나이드, glucuronide
글루쿠로노자일란, glucuronoxylan
글루쿠로니다제, glucuronidase
글루쿠로니드, glucuronide
글루타랄, glutaral
글루타르알데히드, glutaraldehyde
글루타메이트, glutamate
글루타민, glutamine
글루타싸이온, glutathione
글루타치온, glutathione
글루타티오나아제, glutathionase
글루타티온, glutathione
리닥타제, reductase
글루테닌, glutenin
글루테티미드, glutethimide
글루텐, gluten
밀, meal
피드, feed
글루텔린, glutelin
글루토이드, glutoid
캡슐, capsule
글리, glee
글리메피리드, glimepiride
글리벤클라마이드, glibenclamide
글리부졸, glybuzole
글리세라이드, glyceride
글리세로오스, glycerose
글리세로젤라틴, glycerogelatin
글리세롤, glycerol
글리세르알데하이드, glyceraldehyde
글리세르알데히드, glyceraldehyde
글리세리드, glyceride
글리세린, glycerin
다이아세테이트, diacetate
디아세테이트, diacetate
글리세이딩, glissading
글리시닌, glycinin
글리시리진, glycyrrhizin
글리신, glycine
글리아돌핀, gliadorphin
글리아딘, gliadin
글리오톡신, gliotoxin
글리옥살, glyoxal
글리옥살레이스, glyoxalase
글리옥살린, glyoxaline
글리옥시솜, glyoxysome
글리옥실레이트, glyoxylate
글리치, glitch
글리칸, glycan
글리코겐, glycogen
로딩, loading
글리코사미노글리칸, glycosaminoglycan
글리코사이드, glycoside
글리코스아미노글리칸, glycosaminoglycan
글리코스핑고리피드, glycosphingolipid
글리코시데이스, glycosidase
글리코시드, glycoside
글리코유레아, glycolylurea
글리코제놀리시스, glycogenolysis
글리코젠, glycogen
글리코포린, glycophorin
글리코피롤레이트, glycopyrrolate
글리콜, glycol
글리콜알데히드, glycolaldehyde
에터, ether
에테르, ether
이써, ether
글리크로피라미드, glyclopyramide
글리클라자이드, gliclazide
글리클라지드, gliclazide
글리터, glitter
에나멜, enamel
글리터링, glittering
글리포세이트, glyphosate
글리프, glyph
매트릭스, matrix
글리피지드, glipizide
글린트, glint
기, ghee
기가, giga
와이파이, WiFi
기가미터, gigameter
기가바이트, gigabyte
기가비트, gigabit
비디오, video
이더넷, ethernet
얼라이언스, alliance
기가사이클, gigacycle
기가플롭스, gigaflops
기가헤르츠, gigahertz
기그, gig
기누라, gynura
기니, guinea
기다제팜, gidazepam
기리소팜, girisopam
기미, gimme
기미크, gimmick
기버리시, gibberish
토털, total
기번, gibbon
기브, give
앤, and
플레이, play
보디, body
드리블, dribble
기스트, gist
기어, gear
백래시, backlash
랜딩, landing
챔퍼링, chamfering
커플링, coupling
트레인, train
프로펠러, propeller
프리로드, preload
기어링, gearing
레이쇼, ratio
기제로신, gizzerosine
배틀, battle
테크니션, technician
기타리스트, guitarist
기턴, gittern
기토폴메이트, gitoformate
기프, geep
긱, gig
워커, worker
이코노미, economy
긴세노시드, ginsenoside
길, gill
길, Gill
산스, Sans
길더, guilder
길드, guild
길딩, gilding
길라바다, gilabada
길로틴, guillotine
길리, gillie
길링, gilling
길버트, gilbert
길소나이트, gilsonite
길트, gilt
길트웨어, guiltware
타이프, type
톱, top
길티, guilty
플레저, pleasure
플레져, pleasure
김프, guimpe
김프, gimp
김프트, gimped
깁사이트, gibbsite
까운, gown
깡, can
화이트, white
나그라, nagra
나그랑, raglan
나나, NANA
나넨틴, nantenine
나노, nano
센서, sensor
리소그래피, lithography
리튬, lithium
배터리, battery
매니퓰레이터, manipulator
메커트로닉스, mechatronics
메트롤로지, metrololgy
몰딩, molding
바이오테크놀로지, biotechnology
실버, silver
액추에이터, actuator
엘로이, alloy
임프린팅, imprinting
잉크, ink
크리스털, crystal
스위칭, switching
트위저, tweezer
파우더, powder
팹, fab
프로그래밍, programming
핀셋, pincette
나노그램, nanogram
나노몰, nanomole
나노미노, nanomino
나노미터, nanometer
나노볼트, nanovolt
나노볼트미터, nanovoltmeter
나노봇, nanobot
나노세컨드, nanosecond
나노앰프, nanoamp
나노에멀션, nanoemulsion
나노에이커, nanoacre
나노와트, nanowatt
나노웨버, nanoweber
나노플랑크톤, nanoplankton
나노피파드, nanopeapod
나돌롤, nadolol
나드로파린, nadroparin
나라스, NARAS
나르세인, narceine
나르시서스, narcissus
나르시스트, narcissist
나르시시스트, narcissist
