english,korean
 'abbreviation', '어브리비에이시언'
 'abbreviations', '어브리비에이시언즈'
 'abbruzzese', '아브루체이지'
 'abbs', '애브즈'
 'abby', '애비'
 'abc', '에이비시'
" ""abc's""", '에이비시즈'
 'abco', '애브코우'
 'abcotek', '애브코우테크'
 'abcs', '에이비시즈'
 'abd', '에이비디'
 'abdalla', '애브대러'
 'abdallah', '애브대러'
 'abdel', '애브델'
 'abdella', '애브데러'
 'abdicate', '애브더케이트'
 'abdicated', '애브더케이티드'
 'abdicates', '애브더케이츠'
 'abdicating', '애브디케이팅'
 'abdication', '애브디케이시언'
 'abdnor', '애브드너'
 'abdo', '애브도우'
 'abdollah', '애브다러'
 'abdomen', '애브더먼'
 'abdomen', '애브도우먼'
 'abdominal', '애브다머널'
 'abdominal', '어브다머널'
 'abduct', '애브더크트'
 'abducted', '애브더크티드'
 'abducted', '어브더크티드'
 'abductee', '애브더크티'
 'abductees', '애브더크티즈'
 'abducting', '애브더크팅'
 'abducting', '어브더크팅'
 'abduction', '애브더크시언'
 'abduction', '어브더크시언'
 'abductions', '애브더크시언즈'
 'abductions', '어브더크시언즈'
 'abductor', '애브더크터'
 'abductor', '어브더크터'
 'abductors', '애브더크터즈'
 'abductors', '어브더크터즈'
 'abducts', '애브더크츠'
 'abdul', '애브둘'
 'abdulaziz', '애브두러지즈'
 'abdulla', '아브두러'
 'abdullah', '애브더러'
 'abe', '에이브'
 'abed', '어베드'
 'abedi', '어베디'
 'abee', '어비'
 'abel', '에이벌'
 'abela', '아베러'
 'abelard', '애비러드'
 'abele', '어벨'
 'abeles', '에이버리즈'
 'abeles', '어벨즈'
 'abell', '에이벌'
 'abella', '어베러'
 'abeln', '애빌ㄴ'
 'abelow', '애버로우'
 'abels', '에이벌즈'
 'abelson', '애빌선'
 'abend', '애벤드'
 'abend', '어벤드'
 'abendroth', '애빈드로스'
 'aber', '에이버'
 'abercrombie', '애버크람비'
 'aberdeen', '애버딘'
 'aberford', '에이버퍼드'
 'aberg', '애버그'
 'aberle', '애버얼'
 'aberle', '애벌'
 'abermin', '애버민'
 'abernathy', '애버내시'
 'abernethy', '애버네시'
 'aberrant', '애베런트'
 'aberration', '애버에이시언'
 'aberrational', '애버에이시어널'
 'aberrations', '애버에이시언즈'
 'abert', '애버트'
 'abet', '어베트'
 'abetted', '어베티드'
 'abetting', '어베팅'
 'abex', '에이베크스'
 'abeyance', '어베이언스'
 'abeyta', '아베이터'
 'abhor', '애브호르'
 'abhorred', '어브호르드'
 'abhorrence', '어브호런스'
 'abhorrent', '애브호런트'
 'abhors', '어브호르즈'
 'abiam', '에이비엄'
" ""abiam's""", '에이비엄즈'
 'abid', '에이비드'
 'abide', '어바이드'
 'abided', '어바이디드'
 'abides', '어바이즈'
 'abiding', '어바이딩'
 'abidjan', '애비잔'
 'abie', '애비'
 'abigail', '애버게일'
 'abila', '아비러'
 'abilene', '애비린'
 'abilities', '어비러티즈'
 'ability', '어비러티'
 'abimael', '애비메일'
 'abimaels', '애비메일즈'
 'abingdon', '애빙던'
 'abington', '애빙턴'
 'abio', '아비오우'
 'abiola', '아비오우러'
" ""abiola's""", '아비오우러즈'
 'abiomed', '에이비어메드'
 'abiquiu', '어비키우'
 'abitibi', '애비티비'
 'abitz', '애비츠'
 'abject', '애브제크트'
 'abkhazia', '애브캐지어'
 'abkhazia', '애브카지어'
 'abkhazian', '애브캐지언'
 'abkhazian', '애브캐지언'
 'abkhazian', '애브카지언'
 'abkhazian', '애브카지언'
 'abkhazians', '애브캐지언즈'
 'abkhazians', '애브카지언즈'
 'ablate', '어브레이트'
 'ablation', '어브레이시언'
 'ablaze', '어브레이즈'
 'able', '에이벌'
 'able-bodied', '에이벌바디드'
 'abled', '에이벌드'
 'abler', '에이버러'
 'abler', '에이브러'
 'ables', '에이벌즈'
 'ablest', '에이벌스트'
 'ablest', '에이브러스트'
 'abloom', '어브룸'
 'ablution', '어브루시언'
 'ablutions', '어브루시언즈'
 'ably', '에이브리'
 'abnegation', '애브네게이시언'
 'abner', '애브너'
 'abney', '애브니'
 'abnormal', '애브노르멀'
 'abnormalities', '애브노르매러티즈'
 'abnormality', '애브노르매러티'
 'abnormally', '애브노르머리'
 'abo', '아보우'
" ""abo's""", '아보우즈'
 'aboard', '어보르드'
 'abode', '어보우드'
 'abohalima', '애버허리머'
 'abolish', '어바리슈'
 'abolished', '어바리슈트'
 'abolishes', '어바리시이즈'
 'abolishing', '어바리시잉'
 'abolition', '애버리시언'
 'abolitionism', '애버리시어니점'
 'abolitionist', '애버리시어너스트'
 'abolitionists', '애버리시어너스츠'
 'abominable', '어바머너벌'
 'abomination', '어바머네이시언'
 'abominations', '어바머네이시언즈'
 'abood', '어부드'
 'aboodi', '어부디'
 'abor', '어보르'
 'aboriginal', '애버이저널'
 'aborigine', '애버이저니'
 'aborigines', '애버이저니즈'
 'aborn', '어보른'
 'abort', '어보르트'
 'aborted', '어보르티드'
 'abortifacient', '어보르터페이시언트'
 'abortifacients', '어보르터페이시언츠'
 'aborting', '어보르팅'
 'abortion', '어보르시언'
 'abortionist', '어보르시어니스트'
 'abortionists', '어보르시어니스츠'
 'abortions', '어보르시언즈'
 'abortive', '어보르티브'
 'aborts', '어보르츠'
 'abott', '어바트'
 'abou', '어부'
 'aboud', '아부드'
 'abouhalima', '아부하리머'
" ""abouhalima's""", '아부하리머즈'
 'abound', '어바운드'
 'abounded', '어바운디드'
 'abounding', '어바운딩'
 'abounds', '어바운즈'
 'about', '어바우트'
" ""about's""", '어바우츠'
 'above', '어버브'
" ""above's""", '어버브즈'
 'aboveboard', '어버브보르드'
 'abplanalp', '애브프러낼프'
 'abra', '아브러'
 'abracadabra', '애브러커대브러'
 'abrade', '애브레이드'
 'abraded', '애브레이디드'
 'abrades', '애브레이즈'
 'abraham', '에이브러햄'
 'abrahamian', '애브러헤이미언'
 'abrahams', '에이브러햄즈'
 'abrahamsen', '애브러햄선'
 'abrahamson', '어브래험선'
 'abram', '어브램'
" ""abram's""", '에이브럼즈'
 'abramczyk', '아브럼치크'
 'abramo', '아브라모우'
 'abramovitz', '어브라머비츠'
 'abramowicz', '어브라머비치'
 'abramowitz', '어브라머오이츠'
 'abrams', '에이브럼즈'
" ""abrams's""", '에이브럼지즈'
 'abramson', '에이브럼선'
 'abrasion', '어브레이전'
 'abrasions', '어브레이전즈'
 'abrasive', '어브레이시브'
 'abrasives', '어브레이시브즈'
 'abraxa', '어브래크서'
" ""abraxa's""", '어브래크서즈'
 'abraxas', '어브래크서즈'
 'abreast', '어브레스트'
 'abrego', '아브레고우'
 'abreu', '어브루'
 'abridge', '어브리지'
 'abridged', '어브리지드'
 'abridgement', '어브리지먼트'
 'abridges', '어브리저즈'
 'abridging', '어브리징'
 'abril', '어브릴'
 'abroad', '어브로드'
 'abrogate', '애브러게이트'
 'abrogated', '애브러게이티드'
 'abrogating', '애브러게이팅'
 'abrogation', '애브러게이시언'
 'abrol', '어브로울'
 'abron', '어브란'
 'abrupt', '어브러프트'
 'abruptly', '어브러프트리'
 'abruptness', '어브러프트너스'
 'abrutyn', '에이브루틴'
 'abruzzese', '아브루체이지'
 'abruzzo', '아브루조우'
 'abs', '애브즈'
 'abs', '에이비에스'
 'absalom', '애브서럼'
 'absaraka', '애브사러커'
 'abscam', '애브스캠'
 'abscess', '애브세스'
 'abscond', '애브스칸드'
 'absconded', '애브스칸디드'
 'absconding', '애브스칸딩'
 'absconds', '애브스칸즈'
 'absecon', '애브서콘'
 'absence', '애브선스'
 'absences', '애브선시즈'
 'absent', '애브선트'
 'absentee', '애브선티'
 'absenteeism', '애브선티이점'
 'absentees', '애브선티즈'
 'absentia', '애브센시어'
 'absher', '애브시어'
 'abshier', '애브시이어'
 'abshire', '애브시아이르'
 'absinthe', '애브신스'
 'abso', '애브소우'
 'absolom', '애브서럼'
 'absolut', '애브서루트'
" ""absolut's""", '애브서루츠'
 'absolute', '애브서루트'
 'absolutely', '애브서루트리'
 'absoluteness', '애브서루트너스'
 'absolutes', '애브서루츠'
 'absolution', '애브서루시언'
 'absolutism', '애브서루티점'
 'absolutist', '애브서루티스트'
 'absolve', '애브잘브'
 'absolve', '어브잘브'
 'absolved', '애브잘브드'
 'absolved', '어브잘브드'
 'absolves', '애브잘브즈'
 'absolves', '어브잘브즈'
 'absolving', '애브잘빙'
 'absolving', '어브잘빙'
 'absorb', '어브조르브'
 'absorbed', '어브조르브드'
 'absorbency', '어브조르번시'
 'absorbent', '어브조르번트'
 'absorber', '어브조르버'
 'absorbers', '어브조르버즈'
 'absorbing', '어브조르빙'
 'absorbs', '어브조르브즈'
 'absorption', '어브소르프시언'
 'absorption', '어브조르프시언'
 'abstain', '애브스테인'
 'abstain', '어브스테인'
 'abstained', '애브스테인드'
 'abstained', '어브스테인드'
 'abstaining', '애브스테이닝'
 'abstaining', '어브스테이닝'
 'abstention', '애브스텐천'
 'abstention', '어브스텐천'
 'abstentions', '애브스텐천즈'
 'abstentions', '어브스텐천즈'
 'abstinence', '애브스터넌스'
 'abstinent', '애브스터넌트'
 'abston', '애브스턴'
 'abstract', '애브스트래크트'
 'abstract', '애브스트래크트'
 'abstracted', '애브스트래크티드'
 'abstraction', '애브스트래크시언'
 'abstractions', '애브스트래크시언즈'
 'abstracts', '애브스트래크츠'
 'abstruse', '어브스트루스'
 'absurd', '어브서드'
 'absurdist', '어브서디스트'
 'absurdities', '어브서더티즈'
 'absurdity', '어브서더티'
 'absurdly', '어브서드리'
 'abt', '애브트'
 'abt', '에이비티'
 'abts', '애브츠'
 'abts', '에이비티에스'
 'abts', '에이비티즈'
 'abu', '애부'
 'abudrahm', '어버드럼'
 'abuellah', '어보에러'
" ""abuellah's""", '어보에러즈'
 'abuladze', '애비우래지'
 'abundance', '어번던스'
 'abundant', '어번던트'
 'abundantly', '어번던트리'
 'aburto', '어부르토우'
" ""aburto's""", '어부르토우즈'
 'abuse', '어비우스'
 'abuse', '어비우즈'
 'abused', '어비우즈드'
 'abuser', '어비우저'
 'abusers', '어비우저즈'
 'abuses', '어비우시즈'
 'abuses', '어비우지즈'
 'abusing', '어비우징'
 'abusive', '어비우시브'
 'abut', '어버트'
 'abuts', '어버츠'
 'abutted', '어버티드'
 'abutting', '어버팅'
 'abuzz', '어버즈'
 'abysmal', '어비즈멀'
 'abysmally', '어비즈머리'
 'abyss', '어비스'
 'abyssinia', '애브시니어'
 'abyssinian', '애브시니언'
 'abzug', '애브저그'
 'abzug', '애브주그'
 'ac', '에이시'
 'aca', '애커'
 'acacia', '어케이시어'
 'academe', '애커딤'
 'academia', '애커디미어'
 'academic', '애커데미크'
 'academically', '애커데미크리'
 'academician', '애커더미시언'
 'academicians', '애커더미시언즈'
 'academicians', '어캐더미시언즈'
 'academics', '애커데미크스'
 'academies', '어캐더미즈'
 'academy', '어캐더미'
" ""academy's""", '어캐더미즈'
 'acadia', '어케이디어'
 'acampo', '어캄포우'
 'acampora', '어캠퍼어'
 'acampsia', '어캠프시어'
 'acantha', '아칸더'
 'acapulco', '애커풀코우'
 'acary', '애커이'
 'acc', '아이시시'
 'accardi', '아카르디'
 'accardo', '아카르도우'
 'accede', '애크시드'
 'acceded', '애크시디드'
 'accedes', '애크시즈'
 'acceding', '애크시딩'
 'accel', '어크셀'
 'accelerant', '애크세러언트'
 'accelerants', '애크세러언츠'
 'accelerate', '애크세러에이트'
 'accelerated', '애크세러에이티드'
 'accelerates', '애크세러에이츠'
 'accelerating', '애크세러에이팅'
 'acceleration', '애크세러에이시언'
 'accelerator', '애크세러에이터'
 'accelerators', '애크세러에이터즈'
 'accelerometer', '애크세러아머터'
 'accelerometers', '애크세러아머터즈'
 'accent', '애크센트'
 'accent', '어크센트'
 'accented', '애크센티드'
 'accenting', '애크센팅'
 'accents', '애크센츠'
 'accentuate', '애크센추에이트'
 'accentuated', '애크센추에이티드'
 'accentuates', '애크센추에이츠'
 'accentuating', '애크센추에이팅'
 'accenture', '애크센처'
 'accept', '애크세프트'
 'accept', '어크세프트'
 'acceptability', '어크세프터비러티'
 'acceptable', '애크세프터벌'
 'acceptable', '어크세프터벌'
 'acceptably', '애크세프터브리'
 'acceptably', '어크세프터브리'
 'acceptance', '애크세프턴스'
 'acceptance', '어크세프턴스'
 'acceptances', '애크세프턴시즈'
 'accepted', '애크세프티드'
 'accepted', '어크세프티드'
 'accepting', '애크세프팅'
 'accepting', '어크세프팅'
 'accepts', '애크세프츠'
 'access', '애크세스'
 'accessed', '애크세스트'
 'accessibility', '애크세서비리티'
 'accessible', '애크세서벌'
 'accessing', '애크세싱'
 'accession', '어크세시언'
 'accessories', '애크세서이즈'
 'accessorize', '애크세서아이즈'
 'accessorized', '애크세서아이즈드'
 'accessory', '애크세서이'
 'accetta', '아체터'
 'accident', '애크서던트'
" ""accident's""", '애크서던츠'
 'accidental', '애크서데널'
 'accidental', '애크서덴털'
 'accidentally', '애크서데너리'
 'accidentally', '애크서덴터리'
 'accidently', '애크서던트리'
 'accidents', '애크서던츠'
 'accion', '애치언'
 'accival', '애시발'
 'acclaim', '어크레임'
" ""acclaim's""", '어크레임즈'
 'acclaimed', '어크레임드'
 'acclaiming', '어크레이밍'
 'acclaims', '어크레임즈'
 'acclamation', '애크러메이시언'
 'acclimate', '애크러메이트'
 'acclimated', '애크러메이티드'
 'acclimation', '애크러메이시언'
 'acco', '애코우'
 'accokeek', '애코우키크'
 'accola', '아코우러'
 'accolade', '애커레이드'
 'accolades', '애커레이즈'
 'accomando', '아코우만도우'
 'accommodate', '어카머데이트'
 'accommodated', '어카머데이티드'
 'accommodates', '어카머데이츠'
 'accommodating', '어카머데이팅'
 'accommodation', '어카머데이시언'
 'accommodations', '어카머데이시언즈'
 'accommodative', '어카머데이티브'
 'accompanied', '어컴퍼니드'
 'accompanies', '어컴퍼니즈'
 'accompaniment', '어컴프니먼트'
 'accompaniment', '어컴프니먼트'
 'accompaniments', '어컴프니먼츠'
 'accompaniments', '어컴프니먼츠'
 'accompanist', '어컴퍼너스트'
 'accompany', '어컴퍼니'
 'accompanying', '어컴퍼니잉'
 'accompli', '아캄프리'
 'accompli', '어캄프리'
 'accomplice', '어캄프러스'
 'accomplices', '어캄프러서즈'
 'accomplish', '어캄프리슈'
 'accomplished', '어캄프리슈트'
 'accomplishes', '어캄프리시이즈'
 'accomplishing', '어캄프리시잉'
 'accomplishment', '어캄프리슈먼트'
 'accomplishments', '어캄프리슈먼츠'
 'accor', '애코르'
" ""accor's""", '애커즈'
 'accord', '어코르드'
" ""accord's""", '어코르즈'
 'accordance', '어코르던스'
 'accorded', '어코르디드'
 'according', '어코르딩'
 'accordingly', '어코르딩리'
 'accordion', '어코르디언'
 'accordions', '어코르디언즈'
 'accords', '어코르즈'
 'accost', '어코스트'
 'accosted', '어카스티드'
 'accosting', '어카스팅'
 'account', '어카운트'
" ""account's""", '어카운츠'
 'accountability', '어카우너비리티'
 'accountability', '어카운터비리티'
 'accountable', '어카우너벌'
 'accountable', '어카운터벌'
 'accountancy', '어카운턴시'
 'accountant', '어카운턴트'
" ""accountant's""", '어카운턴츠'
 'accountants', '어카운턴츠'
" ""accountants'""", '어카운턴츠'
 'accounted', '어카우너드'
 'accounted', '어카운티드'
 'accountemp', '어카운템프'
 'accountemps', '어카운템프스'
 'accounting', '어카우닝'
 'accounting', '어카운팅'
 'accounts', '어카운츠'
 'accouterment', '어쿠터먼트'
 'accouterments', '어쿠터먼츠'
 'accoutrement', '어쿠터먼트'
 'accoutrements', '어쿠터먼츠'
 'accra', '아크라'
 'accredit', '어크레더트'
 'accreditation', '어크레더테이시언'
 'accreditations', '어크레더테이시언즈'
 'accredited', '어크레디티드'
 'accrediting', '어크레더팅'
 'accreted', '어크리티드'
 'accretion', '어크리시언'
 'accrual', '어크루얼'
 'accruals', '어크루얼즈'
 'accrue', '어크루'
 'accrued', '어크루드'
 'accrues', '어크루즈'
 'accruing', '어크루잉'
 'accu', '애키우'
 'accuhealth', '애키우헬스'
 'accumulate', '어키우미어레이트'
 'accumulated', '어키우미어레이티드'
 'accumulates', '어키우미어레이츠'
 'accumulating', '어키우미어레이팅'
 'accumulation', '어키우미어레이시언'
 'accumulations', '어키우미어레이시언즈'
 'accumulative', '어키우미어레이티브'
 'accumulatively', '어키우미어레이티브리'
 'accumulatively', '어키우미어러티브리'
 'accumulator', '어키우미어레이터'
 'accumulators', '어키우미어레이터즈'
 'accuracies', '애키어어시즈'
 'accuracy', '애키어어시'
 'accurate', '애키어어트'
 'accurately', '애키어어트리'
 'accuray', '애키어에이'
" ""accuray's""", '애키어에이즈'
 'accuride', '애키어아이드'
 'accursed', '애커스트'
 'accurso', '아쿠르소우'
 'accusation', '애키어제이시언'
 'accusation', '애키우제이시언'
 'accusations', '애키어제이시언즈'
 'accusations', '애키우제이시언즈'
 'accusative', '어키우저티브'
 'accusatory', '어키우저토리'
 'accuse', '어키우즈'
 'accused', '어키우즈드'
 'accuser', '어키우저'
 'accusers', '어키우저즈'
 'accuses', '어키우지즈'
 'accusing', '어키우징'
 'accusingly', '어키우징리'
 'accustom', '어커스텀'
 'accustomed', '어커스텀드'
 'accutane', '애키우테인'
 'ace', '에이스'
 'acecomm', '에이스캄'
 'aced', '에이스트'
 'acer', '에이서'
 'acerbic', '어세르비크'
 'acero', '어세로우'
 'acero', '어세로우'
 'acero', '어시에로우'
 'acerra', '어세러'
 'aces', '에이시즈'
 'acetaminophen', '어시터미너펀'
 'acetate', '애서테이트'
 'acetic', '어세티크'
 'acetic', '어시티크'
 'aceto', '아세토우'
 'acetochlor', '아세토우크로르'
 'acetone', '애서토운'
 'acetosyringone', '어세토우시링곤'
 'acetylcholine', '어세털코우린'
 'acetylcholine', '어시털코우린'
 'acetylene', '어세터린'
 'acevedo', '애서베이도우'
 'aceves', '아세이베스'
 'acey', '에이시'
 'ach', '에이시에이치'
 'achaean', '어치언'
 'achatz', '애커츠'
 'ache', '에이크'
 'achebe', '아체이비'
 'ached', '에이크트'
 'achee', '어치'
 'achenbach', '애킨바크'
 'achenbaum', '애컨바움'
 'achene', '어킨'
 'achenes', '어킨즈'
 'aches', '에이크스'
 'acheson', '애처선'
" ""acheson's""", '애처선즈'
 'achesons', '애처선즈'
 'achey', '애치'
 'achieva', '어치버'
 'achievable', '어치버벌'
 'achieve', '어치브'
 'achieved', '어치브드'
 'achievement', '어치브먼트'
 'achievements', '어치브먼츠'
 'achiever', '어치버'
 'achievers', '어치버즈'
 'achieves', '어치브즈'
 'achieving', '어치빙'
 'achille', '어키리'
 'achilles', '어키리즈'
" ""achilles'""", '어키리즈'
 'aching', '에이킹'
 'achingly', '에이킹리'
 'achmed', '아흐메드'
 'achoa', '어초우어'
" ""achoa's""", '어초우어즈'
 'achoo', '아추'
 'achor', '에이커'
 'achord', '애코르드'
 'achorn', '애컨'
 'achtenberg', '애크텐버그'
 'achterberg', '애크터버그'
 'achy', '에이키'
 'acid', '애서드'
 'acidic', '어시디크'
 'acidification', '어시더퍼케이시언'
 'acidified', '어시더파이드'
 'acidifies', '어시더파이즈'
 'acidify', '어시더파이'
 'acidity', '어시더티'
 'acidly', '애서드리'
 'acidosis', '애서도우서스'
 'acids', '애서즈'
 'aciduria', '애서두리어'
 'acierno', '아시르노우'
 'ack', '애크'
 'acker', '애커'
" ""acker's""", '애커즈'
 'ackerley', '애커리'
 'ackerly', '애커리'
 'ackerman', '애커먼'
 'ackermann', '애커먼'
 'ackermanville', '애커먼빌'
 'ackerson', '애커선'
 'ackert', '애커트'
 'ackhouse', '애크하우스'
 'ackland', '애크런드'
 'ackles', '애컬즈'
 'ackley', '애크리'
 'acklin', '애크린'
 'ackman', '애크먼'
 'acknowledge', '애크나리지'
 'acknowledgeable', '애크나리저벌'
 'acknowledged', '애크나리지드'
 'acknowledgement', '애크나리지먼트'
 'acknowledgements', '애크나리지먼츠'
 'acknowledges', '애크나리지즈'
 'acknowledging', '애크나리징'
 'acknowledgment', '애크나리지먼트'
 'acknowledgments', '애크나리지먼츠'
 'ackroyd', '애크로이드'
" ""ackroyd's""", '애크로이즈'
 'acm', '에이시엠'
 'acmat', '애크매트'
" ""acmat's""", '애크매츠'
 'acme', '애크미'
" ""acme's""", '애크미즈'
 'acne', '애크니'
 'acocella', '아코우체러'
 'acoff', '애코프'
 'acog', '어코그'
 'acolyte', '애커라이트'
 'acolytes', '애커라이츠'
 'acord', '어코르드'
 'acordia', '어코르디어'
 'acorn', '에이코른'
" ""acorn's""", '에이코른즈'
 'acorns', '에이코른즈'
 'acosta', '어코스터'
 'acott', '에이코트'
 'acoustic', '어쿠스티크'
 'acoustical', '어쿠스티컬'
 'acoustically', '어쿠스티크리'
 'acoustics', '어쿠스티크스'
 'acquaint', '어쿠에인트'
 'acquaintance', '어쿠에인턴스'
 'acquaintances', '어쿠에인턴시즈'
 'acquaintanceship', '어쿠에인턴스시이프'
 'acquainted', '어쿠에이니드'
 'acquainted', '어쿠에인티드'
 'acquaviva', '아쿠아비버'
 'acquiesce', '애쿠이에스'
 'acquiesced', '애쿠이에스트'
 'acquiescence', '애쿠이에선스'
 'acquiescent', '애쿠이에선트'
 'acquiescing', '애쿠이에싱'
 'acquire', '어쿠아이어'
 'acquired', '어쿠아이어드'
 'acquirer', '어쿠아이어어'
" ""acquirer's""", '어쿠아이어어즈'
 'acquirers', '어쿠아이어어즈'
 'acquires', '어쿠아이어즈'
 'acquiring', '어쿠아이어잉'
 'acquiring', '어쿠아이링'
 'acquisition', '애쿠어지시언'
" ""acquisition's""", '애쿠어지시언즈'
 'acquisitions', '애쿠어지시언즈'
 'acquisitive', '어쿠이저티브'
 'acquit', '어쿠이트'
 'acquitaine', '애쿠이테인'
 'acquits', '어쿠이츠'
 'acquittal', '어쿠이털'
 'acquittals', '어쿠이털즈'
 'acquitted', '어쿠이티드'
 'acquitting', '어쿠이팅'
 'acre', '에이커'
 'acreage', '에이커이지'
 'acreage', '에이크러지'
 'acree', '어크리'
 'acres', '에이커즈'
 'acrey', '애크리'
 'acri', '아크리'
 'acrid', '애크리드'
 'acrimonious', '애크러모우니어스'
 'acrimony', '애크리모우니'
 'acro', '애크로우'
 'acrobat', '애크러배트'
 'acrobatic', '애크러배티크'
 'acrobatics', '애크러배티크스'
 'acrobats', '애크러배츠'
 'acrolein', '애크로우린'
 'acronym', '애크러님'
 'acronyms', '애크러님즈'
 'acropolis', '어크라퍼러스'
 'across', '어크로스'
 'acrylic', '어크리리크'
 'acrylics', '어크리리크스'
 'act', '애크트'
" ""act's""", '애크츠'
 'acta', '애크타'
 'actava', '애크타버'
" ""actava's""", '애크타버즈'
 'actavas', '애크타버즈'
 'acted', '애크티드'
 'actel', '애크텔'
 'actigall', '애크티골'
 'actin', '애크턴'
 'acting', '애크팅'
 'actinide', '애크티나이드'
 'actinidia', '애크티니디어'
 'actinomycosis', '애크티노우마이코우시스'
 'action', '애크시언'
" ""action's""", '애크시언즈'
 'actionable', '애크시어너벌'
 'actions', '애크시언즈'
 'activase', '애크티베이즈'
 'activate', '애크터베이트'
 'activated', '애크터베이티드'
 'activates', '애크터베이츠'
 'activating', '애크터베이팅'
 'activation', '애크터베이시언'
 'activator', '애크터베이터'
 'active', '애크티브'
" ""active's""", '애크티브즈'
 'actively', '애크티브리'
 'actives', '애크티브즈'
 'activision', '애크티비전'
 'activism', '애크티비점'
 'activist', '애크터버스트'
 'activist', '애크티비스트'
 'activists', '애크터버스츠'
 'activists', '애크티비스츠'
" ""activists'""", '애크티비스츠'
 'activities', '애크티버티즈'
 'activities', '애크티비티즈'
 'activity', '애크티버티'
 'activity', '애크티비티'
 'actmedia', '애크트미디어'
 'actodine', '애크토우다인'
 'acton', '애크턴'
 'actor', '애크터'
" ""actor's""", '애크터즈'
 'actors', '애크터즈'
" ""actors'""", '애크터즈'
 'actress', '애크트러스'
" ""actress's""", '애크트러시즈'
 'actresses', '애크트러시즈'
 'acts', '애크스'
 'acts', '애크츠'
 'actual', '애크시얼'
 'actual', '애크처월'
 'actuality', '애크추애러티'
 'actualize', '애크추어라이즈'
 'actually', '애크추어리'
 'actually', '애크시어리'
 'actually', '애크치리'
 'actuarial', '애크추에리얼'
 'actuaries', '애크추에리즈'
 'actuary', '애크추에리'
 'actuate', '애크추에이트'
 'actuator', '애크티우에이터'
 'actuator', '애크추에이터'
 'actuators', '애크티우에이터즈'
 'actuators', '애크추에이터즈'
 'actus', '애크터스'
 'acuff', '어커프'
 'acuity', '어키우어티'
 'acumen', '어키우먼'
 'acuna', '아쿠너'
 'acupuncture', '애키우펑크처'
 'acura', '애키어어'
" ""acura's""", '애키어어즈'
 'acuras', '애키어어즈'
 'acuson', '애키우선'
 'acustar', '애키우스타르'
 'acusyst', '애키우시스트'
 'acute', '어키우트'
 'acutely', '어키우트리'
